Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M12*1*2H0--3,M12*1*2H3--6,M12*1*2H6--9,M12*1*2H9--12,M12*1*2H12--15,M12*1*2H15--18,M12*1*2H18--21,M12*1*2H21--0,M3*4*5H0--3,M3*4*5H3--6,M3*4*5H6--9,M3*4*5H9--12,M3*4*5H12--15,M3*4*5H15--18,M3*4*5H18--21,M3*4*5H21--0,M6*7*8H0--3,M6*7*8H3--6,M6*7*8H6--9,M6*7*8H9--12,M6*7*8H12--15,M6*7*8H15--18,M6*7*8H18--21,M6*7*8H21--0,M9*10*11H0--3,M9*10*11H3--6,M9*10*11H6--9,M9*10*11H9--12,M9*10*11H12--15,M9*10*11H15--18,M9*10*11H18--21,M9*10*11H21--0
CRI.All,CRIZ0,New NUK_LWR,AS T1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,New NUK_LWR,AS T2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,New NUK_LWR,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,Gross Output,185.3,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,35.28,0.00,0.00,0.00,0.00,6.37,0.00,103.81,75.80,33.40,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,Net Output, ,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,32.81,0.00,0.00,0.00,0.00,5.92,0.00,96.55,70.50,31.06,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,New GAS_CCGT,Gross Output,117.9,106.12,106.12,91.60,84.26,104.89,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,104.15,0.00,0.00,0.00,106.12,106.12,106.12,106.12,104.09,0.00,0.00,0.00,106.12,106.12,106.12
NIC.East,NICZ2,New GAS_CCGT,Net Output, ,98.69,98.69,85.19,78.36,97.55,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69,96.86,0.00,0.00,0.00,98.69,98.69,98.69,98.69,96.80,0.00,0.00,0.00,98.69,98.69,98.69
NIC.East,NICZ2,New GAS_CCGT,AS T1,,0.00,0.00,0.00,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,New GAS_CCGT,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,New GAS_CCGT,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,New NUK_LWR,Gross Output,5.2,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
NIC.East,NICZ2,New NUK_LWR,Net Output, ,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37
NIC.East,NICZ2,New NUK_LWR,AS T1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,New NUK_LWR,AS T2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,New NUK_LWR,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,New GAS_CCGT,Gross Output,1404.9,1264.43,1264.43,1156.75,1237.22,1195.66,1264.43,1264.43,1264.43,1264.43,1264.43,1264.43,1264.43,1264.43,1264.43,1264.43,1264.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,New GAS_CCGT,Net Output, ,1175.92,1175.92,1075.78,1150.61,1111.97,1175.92,1175.92,1175.92,1175.92,1175.92,1175.92,1175.92,1175.92,1175.92,1175.92,1175.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,New GAS_CCGT,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,New GAS_CCGT,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,New GAS_CCGT,AS T3,,0.00,0.00,0.00,0.00,8.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,BESS_ST4,Input,165.7,-0.00,-0.00,-67.07,-157.43,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-69.23,-128.81,-26.46,-0.00,-0.00,-0.00,-0.00,-0.00,-67.07,-157.43,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-134.38,-90.12,-0.00,-0.00,-0.00,-0.00
CRI.All,CRIZ0,BESS_ST4,Output,165.7,124.98,39.00,0.00,0.00,0.00,0.00,0.00,45.92,33.18,28.79,0.00,0.00,0.00,6.56,67.81,73.57,102.36,32.00,0.00,0.00,0.00,1.74,73.81,0.00,62.71,0.00,0.00,0.00,0.00,0.00,53.36,93.84
CRI.All,CRIZ0,BESS_ST4,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.07,52.78,46.69,45.61,50.14,52.90,53.28,53.91,55.04,52.74,46.65,45.57,49.33,53.65,53.26,53.88
CRI.All,CRIZ0,BESS_ST4,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.67,0.00,32.06,33.14,29.39,0.00,0.00,0.00
NIC.Central,NICZ1,BESS_ST4,Input,20.3,-0.00,-0.00,-0.00,-19.28,-8.21,-0.00,-0.00,-0.00,-0.00,-0.00,-19.28,-6.92,-1.30,-0.00,-0.00,-0.00,-0.00,-0.00,-8.21,-19.28,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-8.21,-19.28,-0.00,-0.00,-0.00,-0.00
NIC.Central,NICZ1,BESS_ST4,Output,20.3,19.28,0.00,0.00,0.00,0.00,0.00,6.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.36,14.35,17.56,0.00,0.00,0.00,0.00,8.15,0.00,0.00,12.99,0.00,0.00,0.00,0.00,0.00,12.71,0.00
NIC.Central,NICZ1,BESS_ST4,AS T1,,0.00,0.00,1.14,0.96,1.59,0.00,0.00,2.33,2.60,6.41,5.22,5.25,0.00,2.30,2.51,2.49,1.73,6.40,5.43,5.25,5.88,6.50,6.60,6.57,1.79,6.39,5.43,5.24,5.88,6.49,6.57,6.54
NIC.Central,NICZ1,BESS_ST4,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,6.87,0.00,0.00,0.00,0.00,0.00,5.41,2.44,0.00,0.00,0.00,4.39,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,BESS_ST4,Input,9.7,-0.00,-0.00,-3.92,-0.00,-9.19,-0.00,-0.00,-0.00,-0.00,-0.00,-9.19,-3.92,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-4.37,-4.37,-4.37,-0.00,-0.00,-0.00,-0.00,-0.00,-4.37,-4.37,-4.37,-0.00,-0.00,-0.00
NIC.East,NICZ2,BESS_ST4,Output,9.7,7.55,0.00,0.00,0.00,0.00,0.00,0.00,4.71,4.92,0.00,0.00,0.00,0.00,0.00,3.51,3.82,5.11,0.00,0.00,0.00,0.00,0.74,3.93,2.47,5.38,0.00,0.00,0.00,0.00,0.49,3.37,3.01
NIC.East,NICZ2,BESS_ST4,AS T1,,1.64,3.03,2.57,0.00,2.78,3.10,3.19,1.58,3.28,3.04,2.58,0.89,2.79,3.13,3.26,3.25,3.25,3.04,2.58,2.49,2.79,3.11,3.21,3.20,3.25,3.04,2.57,2.49,2.79,3.11,3.19,3.18
NIC.East,NICZ2,BESS_ST4,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.91,0.00,1.56,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0.00,0.00,0.00,2.02,0.00,1.81,0.00,1.40,1.41
NIC.West,NICZ3,BESS_ST4,Input,33.1,-0.00,-0.00,-13.40,-31.46,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-31.46,-13.40,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-31.46,-13.40,-0.00,-0.00,-0.00,-0.00,-0.00,-13.40,-31.46,-0.00,-0.00,-0.00,-0.00
NIC.West,NICZ3,BESS_ST4,Output,33.1,20.12,0.00,0.00,0.00,0.00,0.00,21.82,0.00,3.59,20.60,0.00,0.00,0.00,0.00,0.00,17.75,20.25,20.87,0.00,0.00,0.00,0.00,0.83,0.00,20.91,8.81,0.00,0.00,0.00,12.22,0.00,0.00
NIC.West,NICZ3,BESS_ST4,AS T1,,9.72,8.95,7.47,7.19,8.15,9.24,9.64,9.37,10.50,9.74,8.24,7.95,8.93,4.99,5.77,5.74,11.21,10.59,9.10,8.82,9.79,10.86,11.21,11.18,10.54,9.82,8.34,8.06,9.03,10.08,10.39,10.35
NIC.West,NICZ3,BESS_ST4,AS T2,,0.00,6.78,0.00,7.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.80,0.00,0.00,0.00,0.00,0.00,6.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,HYD_LG,Net output,1935.4,298.95,298.95,298.95,298.95,298.95,298.95,298.95,298.95,259.54,259.54,259.54,259.54,259.54,259.54,259.54,259.54,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63,1838.63
CRI.All,CRIZ0,HYD_LG,AS T1,,55.68,53.40,47.31,46.22,49.96,53.50,53.90,53.75,56.26,53.63,47.52,46.44,50.20,54.07,55.05,54.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,HYD_LG,AS T2,,55.68,53.40,47.31,46.22,49.96,53.50,53.90,53.75,56.26,53.63,47.52,46.44,50.20,54.07,55.05,54.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,HYD_SM,Net output,9.1,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90
CRI.All,CRIZ0,HYD_SM,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.78,0.78,0.78,0.00,0.78,0.78,0.00,0.78,0.78,0.78,0.78,0.78,0.00,0.78,0.00
CRI.All,CRIZ0,HYD_SM,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.24,0.00,0.00,0.00,1.96,0.00,0.00,1.96,0.00,2.74,0.00,0.00
NIC.Central,NICZ1,HYD_LG,Net output,50.0,7.40,7.40,7.40,7.40,7.40,7.40,7.40,7.40,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50
NIC.Central,NICZ1,HYD_LG,AS T1,,4.28,4.28,4.28,4.28,4.28,3.14,3.27,4.28,4.28,0.00,0.22,0.00,4.28,4.28,4.28,4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,HYD_LG,AS T2,,0.00,0.00,0.00,2.75,0.00,3.89,3.76,2.75,0.00,0.00,5.44,0.00,0.00,1.38,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Exist Non-disp output,,0.0,344.80,349.62,351.38,355.99,365.82,378.74,365.60,349.64,290.75,294.43,298.23,306.80,327.74,331.33,302.55,291.96,248.99,255.81,259.56,268.69,273.73,292.10,273.91,253.51,249.83,255.98,260.74,266.32,266.54,283.93,269.89,248.56
NIC.Central,NICZ1,Exist Non-disp output,,0.0,7.94,7.82,7.63,7.55,7.94,8.88,8.57,8.41,6.67,6.71,5.81,5.30,6.27,6.68,5.98,6.12,4.89,4.99,4.80,4.90,5.23,6.29,5.84,5.16,3.61,3.95,4.02,4.10,4.05,5.12,4.48,3.64
NIC.East,NICZ2,Exist Non-disp output,,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,Exist Non-disp output,,0.0,134.32,137.29,136.26,134.54,139.82,151.38,143.99,136.56,93.94,104.67,102.89,100.74,111.90,113.45,94.24,84.93,73.24,79.23,77.75,78.69,84.56,95.04,84.25,73.59,56.70,64.37,66.89,68.54,69.57,79.87,67.42,55.61
CRI.OffRgn1,CRIZF0,Exist Non-disp output,,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.OffRgn2,CRIZF1,Exist Non-disp output,,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.OffRgn1,NICZF2,Exist Non-disp output,,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.OffRgn2,NICZF3,Exist Non-disp output,,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,ET814,Transmission,400.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,NICZ2,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,NICZ3,Transmission,615.2/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,415.99,428.83,466.84,490.62,511.60,430.91,471.82,382.77,378.47,398.59,466.42,475.77,488.17,422.37,448.70,472.96
,ET1292,NICZ2,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ET1298,NICZ2,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ET1299,NICZ1,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ET1308,NICZ3,Transmission,115.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ET1309,NICZ1,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,ET2166,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,NICZ2,Transmission,100.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.00,0.00,87.11,84.16,94.36,0.00,0.00,1.13,0.00,0.00,87.07,84.12,94.30,0.00,0.00,0.00
NIC.Central,NICZ1,ET2168,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,NICZ3,Transmission,100.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.91,59.59,0.00,0.00,0.00,50.85,53.82,58.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,ET2170,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,CRIZ0,Transmission,0.0/47.5,5.31,2.11,0.00,0.00,0.00,11.16,37.49,41.05,47.48,47.48,47.48,37.64,47.48,47.48,47.48,47.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,ET2172,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,NICZ3,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,NICZ1,Transmission,100.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,ET2175,Transmission,275.1/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,CRIZ0,Transmission,531.5/578.5,1030.53,1039.03,939.14,990.18,946.33,1043.38,1044.61,1005.03,1109.99,1109.99,996.94,1022.29,1014.39,1109.99,1109.99,1109.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,NICZ2,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.West,NICZ3,NICZ1,Transmission,157.5/84.1,0.00,0.00,10.61,23.99,33.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.01,162.73,226.79,228.69,240.56,150.63,168.64,71.94,92.93,132.20,227.45,229.37,241.59,165.58,156.05,168.94
,ET2286,CRIZ0,Transmission,172.8/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.OffRgn1,CRIZF0,CRIZ0,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.OffRgn2,CRIZF1,CRIZ0,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.OffRgn1,NICZF2,NICZ3,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.OffRgn2,NICZF3,NICZ2,Transmission,0.0/0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
